order px wavelength class PCC r_m r_c med_intensity
13 1565 5056.47 w 0.460 0.03217 -0.00282 -0.0124
13 1566 5056.49 w 0.301 0.01850 -0.00243 -0.0080
13 1567 5056.51 w 0.362 0.01742 0.00033 -0.0049
13 1568 5056.53 w 0.117 0.00766 -0.00169 -0.0040
13 1623 5057.53 w -0.081 -0.00562 -0.01000 -0.0083
13 1624 5057.55 w 0.352 0.02563 -0.00622 -0.0139
13 1625 5057.56 w 0.660 0.05680 -0.00757 -0.0246
13 1626 5057.58 w 0.820 0.10111 -0.01077 -0.0410
13 1627 5057.60 w 0.879 0.11603 -0.00878 -0.0435
13 1628 5057.62 w 0.785 0.06606 -0.01052 -0.0303
13 1629 5057.64 w 0.419 0.02312 -0.01078 -0.0177
13 1630 5057.66 w -0.046 -0.00242 -0.01158 -0.0109
13 1649 5058.00 w 0.184 0.00930 -0.00091 -0.0037
13 1650 5058.02 w 0.249 0.01360 0.00011 -0.0040
13 1651 5058.04 w 0.354 0.02370 0.00475 -0.0023
13 1652 5058.05 w 0.476 0.03002 0.00491 -0.0041
13 1653 5058.07 w 0.385 0.02180 0.00264 -0.0039
13 1654 5058.09 w 0.532 0.03556 0.00566 -0.0050
13 1655 5058.11 w 0.410 0.02747 0.00122 -0.0070
13 1656 5058.13 w 0.656 0.04822 0.00486 -0.0096
13 1657 5058.15 w 0.352 0.02203 -0.00297 -0.0096
13 1658 5058.16 w 0.483 0.02977 -0.00006 -0.0090
13 1659 5058.18 w 0.298 0.02061 -0.00496 -0.0111
13 1660 5058.20 w 0.398 0.02611 -0.00506 -0.0129
13 1661 5058.22 w 0.415 0.03001 -0.00708 -0.0161
13 1662 5058.24 w 0.573 0.03310 -0.00821 -0.0181
13 1663 5058.25 w 0.329 0.01936 -0.00891 -0.0147
13 1664 5058.27 w 0.053 0.00295 -0.00840 -0.0093
13 1755 5059.92 w 0.176 0.01140 -0.00110 -0.0045
13 1756 5059.94 w 0.324 0.02094 0.00023 -0.0060
13 1757 5059.96 w 0.362 0.02091 -0.00077 -0.0070
13 1758 5059.97 w 0.574 0.04020 -0.00129 -0.0133
13 1759 5059.99 w 0.693 0.06888 -0.00285 -0.0234
13 1760 5060.01 w 0.819 0.08645 -0.00330 -0.0291
13 1761 5060.03 w 0.824 0.07517 0.00045 -0.0220
13 1762 5060.05 w 0.560 0.04001 -0.00216 -0.0141
